Date,Cases,Recovered,Deaths,,,,,
"Aug 9, 2020",6,46,1,,,,,
"Aug 10, 2020",12,46,0,,,,,
"Aug 11, 2020",19,86,0,,,,,
"Aug 12, 2020",18,46,1,,,,,
"Aug 13, 2020",11,34,0,,,,,
"Aug 14, 2020",93,46,0,,,,,
"Aug 15, 2020",59,27,0,,,,,
"Aug 16, 2020",101,17,0,,,,,
"Aug 17, 2020",87,13,0,,,,,
"Aug 18, 2020",37,22,2,,,,,
"Aug 19, 2020",67,15,0,,,,,
"Aug 20, 2020",73,7,1,,,,,
"Aug 21, 2020",63,7,0,,,,,
"Aug 22, 2020",109,42,0,,,,,
"Aug 23, 2020",200,1,1,,,,,
"Aug 24, 2020",217,30,2,,,,,
"Aug 25, 2020",231,21,1,,,,,
"Aug 26, 2020",88,4,0,,,,,
"Aug 27, 2020",47,53,0,,,,,
"Aug 28, 2020",70,3,1,,,,,
"Aug 29, 2020",101,38,0,Recovered39,,,,
"Aug 30, 2020",177,14,0,,,,,
"Aug 31, 2020",43,95,0,,,,,
"Sep 1, 2020",79,31,0,,,,,
"Sep 2, 2020",76,27,1,,,,,
"Sep 3, 2020",37,92,1,,,,,
"Sep 4, 2020",49,28,0,,,,,
"Sep 5, 2020",45,8,0,,,,,
"Sep 6, 2020",25,36,1,,,,,
"Sep 7, 2020",35,36,0,,,,,
"Sep 8, 2020",30,36,1,,,,,
"Sep 9, 2020",21,18,1,,,,,
"Sep 10, 2020",19,27,1,,,,,
"Sep 11, 2020",55,98,0,,,,,
"Sep 12, 2020",31,94,0,,,,,
"Sep 13, 2020",26,12,0,,,,,
"Sep 14, 2020",11,180,0,,,,,
"Sep 15, 2020",22,31,0,,,,,
"Sep 16, 2020",10,22,0,,,,,
"Sep 17, 2020",19,28,1,,,,,
"Sep 18, 2020",18,28,2,,,,,
"Sep 19, 2020",18,65,1,,,,,
"Sep 20, 2020",22,51,0,,,,,
"Sep 21, 2020",11,12,1,,,,,
"Sep 22, 2020",16,18,0,,,,,
"Sep 23, 2020",41,4,0,,,,,
"Sep 24, 2020",10,55,0,,,,,
"Sep 25, 2020",9,30,2,,,,,
"Sep 26, 2020",13,11,0,,,,,
"Sep 27, 2020",9,8,0,,,,,
"Sep 28, 2020",12,18,0,,,,,
"Sep 29, 2020",4,8,0,,,,,
"Sep 30, 2020",4,29,0,,,,,
"Oct 1, 2020",3,27,0,,,,,
"Oct 2, 2020",4,16,0,,,,,
"Oct 3, 2020",5,14,0,,,,,
"Oct 4, 2020",14,5,0,,,,,
"Oct 5, 2020",1,10,0,,,,,
"Oct 6, 2020",6,20,0,,,,,
"Oct 7, 2020",10,162,0,,,,,
"Oct 8, 2020",2,134,0,,,,,
"Oct 9, 2020",5,13,1,,,,,
"Oct 10, 2020",2,11,0,,,,,
"Oct 11, 2020",4,40,1,,,,,
"Oct 12, 2020",9,271,1,,,,,
"Oct 13, 2020",3,253,0,,,,,
"Oct 14, 2020",32,268,1,,,,,
"Oct 15, 2020",13,203,0,,,,,
"Oct 16, 2020",12,63,1,,,,,
"Oct 17, 2020",6,104,0,,,,,
"Oct 18, 2020",3,15,0,,,,,
"Oct 19, 2020",18,14,0,,,,,
"Oct 20, 2020",4,0,0,,,,,
"Oct 21, 2020",16,1,0,,,,,
"Oct 22, 2020",5,5,0,,,,,
"Oct 23, 2020",35,3,0,,,,,
"Oct 24, 2020",8,0,0,,,,,
"Oct 25, 2020",6,24,0,,,,,
"Oct 26, 2020",7,18,0,,,,,
"Oct 27, 2020",11,3,1,,,,,
"Oct 28, 2020",45,0,0,,,,,
"Oct 29, 2020",2,0,0,,,,,
"Oct 30, 2020",3,27,0,,,,,
"Oct 31, 2020",3,1,0,,,,,
"Nov 1, 2020",9,42,0,,,,,
"Nov 2, 2020",9,1,0,,,,,
"Nov 3, 2020",7,8,0,,,,,
"Nov 4, 2020",12,0,0,,,,,
"Nov 5, 2020",18,10,1,,,,,
"Nov 6, 2020",16,13,0,,,,,
"Nov 7, 2020",5,0,0,,,,,
"Nov 8, 2020",9,7,0,,,,,
"Nov 9, 2020",20,7,2,,,,,
"Nov 10, 2020",20,0,2,,,,,
"Nov 11, 2020",50,7,1,,,,,
"Nov 12, 2020",7,0,0,,,,,
"Nov 13, 2020",43,19,1,,,,,
"Nov 14, 2020",32,1,0,,,,,
"Nov 15, 2020",61,1,3,,,,,
"Nov 16, 2020",36,9,0,,,,,
